run_name,test_year,n_train,n_test,R2,RMSE,MAE
ger_with_prev_yield,2017,1607.0,269.0,0.2744038138645778,0.8489432173474832,0.6860674273349541
ger_with_prev_yield,2018,1602.0,274.0,0.38276358057152515,0.9432641916959217,0.7510390611906339
ger_with_prev_yield,2019,1605.0,271.0,0.5294359385141711,0.8082476842940727,0.6537346445131327
ger_with_prev_yield,2020,1607.0,269.0,0.35323627430216187,0.8540519269280908,0.6828818756926688
ger_with_prev_yield,2021,1609.0,267.0,-0.05009793170673715,0.9243631867557708,0.7393102952126948
ger_with_prev_yield,2022,1612.0,264.0,0.4325790375563089,0.9669647575484354,0.789145716553438
ger_with_prev_yield,2023,1614.0,262.0,0.5477151613707386,0.7151297699590763,0.5576329894333824
ger_with_prev_yield,mean,1608.0,268.0,0.3528622677818209,0.8658521049326929,0.6942588585615578
