run_name,feature,importance_mean,importance_std
ger_no_prev_yield,NDVI_Jun,0.14306621054281551,0.010494721597982213
ger_no_prev_yield,NDVI_peak,0.08169452404366787,0.008811021983440677
ger_no_prev_yield,Median_Tmax_Mar,0.05424019875258745,0.008422090724913947
ger_no_prev_yield,Median_Tmax_Jun,0.054209950282615126,0.009691837492354053
ger_no_prev_yield,HeatDays_>27C_05_06,0.04834419281205677,0.0038049055895581605
ger_no_prev_yield,NDVI_integral,0.04269177972417141,0.00515444204724176
ger_no_prev_yield,Median_Tmin_Jun,0.04214146658180945,0.004041083594990963
ger_no_prev_yield,Median_Tmin_Apr,0.041884545626579776,0.0053404989464237475
ger_no_prev_yield,NDVI_May,0.04082457314550754,0.004706502820101168
ger_no_prev_yield,PrecipSum_Jun,0.038644297377143214,0.006970071240592398
ger_no_prev_yield,Median_Tmax_Apr,0.03835487710549753,0.0047853570342653775
ger_no_prev_yield,PrecipSum_May,0.036834591576351994,0.003085093184278853
ger_no_prev_yield,NDVI_peak_month,0.03624244132633819,0.004425990464858476
ger_no_prev_yield,NDVI_Apr,0.03509107571086696,0.006188618747379512
ger_no_prev_yield,PrecipSum_Mar,0.03504425364245754,0.004480982455401312
ger_no_prev_yield,RainyDays_>=1mm_Season,0.03325546604154851,0.0023891780180542955
ger_no_prev_yield,SoilMoistureAnom_AprJun,0.0319487152909189,0.0034001213749762205
ger_no_prev_yield,Median_Tmin_Mar,0.03167078514191744,0.00401245363899237
ger_no_prev_yield,Median_Tmin_May,0.030872072489536627,0.0023048821546418127
ger_no_prev_yield,PrecipSum_Apr,0.02821774019442389,0.0015501746920745538
ger_no_prev_yield,GDD_03_06,0.02627951046458488,0.0014015062483057293
ger_no_prev_yield,Median_Tmax_May,0.025675941941437554,0.0012173741809559074
ger_no_prev_yield,SoilMoisture_AprJun,0.022770790185165833,0.0014742525280114656
