run_name,feature,importance_mean,importance_std
ger_no_prev_yield,NDVI_Jun,0.1736525898207359,0.06771660150736107
ger_no_prev_yield,NDVI_peak,0.05850499013041743,0.017719515531863052
ger_no_prev_yield,Median_Tmax_Jun,0.024418944487127222,0.021353517568822672
ger_no_prev_yield,Median_Tmax_Mar,0.017319256357625195,0.01626493300068831
ger_no_prev_yield,NDVI_integral,0.01566969568943218,0.008986032497478046
ger_no_prev_yield,Median_Tmin_Jun,0.012391189988157695,0.00961123508195246
ger_no_prev_yield,HeatDays_>27C_05_06,0.012072033566488302,0.017781252879856064
ger_no_prev_yield,NDVI_Apr,0.009613822977318793,0.014967968329180516
ger_no_prev_yield,NDVI_May,0.009062924649446536,0.012136571808742976
ger_no_prev_yield,NDVI_peak_month,0.006255566098261404,0.00788361565584078
ger_no_prev_yield,Median_Tmin_Apr,0.004754736553710879,0.00619851260418281
ger_no_prev_yield,Median_Tmax_Apr,0.0036773139259809557,0.006696661493048147
ger_no_prev_yield,Median_Tmax_May,0.0029659020868744055,0.006434441259920793
ger_no_prev_yield,SoilMoisture_AprJun,0.001872999959862015,0.004362992641106313
ger_no_prev_yield,Median_Tmin_May,0.0014994608200537083,0.001636575809118801
ger_no_prev_yield,PrecipSum_Apr,0.0013581651848734394,0.005470318778682703
ger_no_prev_yield,PrecipSum_May,0.0011852743852836206,0.004935745875354056
ger_no_prev_yield,PrecipSum_Mar,0.0005508957204954821,0.01523735609876512
ger_no_prev_yield,PrecipSum_Jun,0.0003899118806409779,0.014043470550543873
ger_no_prev_yield,SoilMoistureAnom_AprJun,-0.0014370668055272771,0.003841369483746772
ger_no_prev_yield,Median_Tmin_Mar,-0.0018103417404192288,0.005873832863586925
ger_no_prev_yield,GDD_03_06,-0.0024193313114407667,0.006143078685608542
ger_no_prev_yield,RainyDays_>=1mm_Season,-0.0024210267599962866,0.005020288321879799
