feature,importance_mean,importance_std
SoilMoisture_AprJun,0.0518939338221164,0.01665204025687138
Median_Tmin_Jun,0.02164756532300882,0.029581073034610078
NDVI_Jun,0.02023878816130884,0.020552996920765836
PrecipSum_Apr,0.00872951289317128,0.011757024713408382
NDVI_peak_month,0.00806619135107963,0.01197509408449475
PrecipSum_May,0.007155631612268136,0.008084162764291216
Median_Tmax_Jun,0.006442147250158854,0.010526562195644601
PrecipSum_Jun,0.0013585285894273202,0.025598304071623994
PrecipSum_Mar,0.0010820408154342358,0.004385016528419835
HeatDays_>27C_05_06,0.0007506761926243915,0.00884351185486092
RainyDays_>=1mm_Season,0.0005726833746236133,0.01907282751726188
NDVI_peak,-0.0007412500324856266,0.002650074608242848
Median_Tmax_Apr,-0.0009187611681570479,0.030081075171958647
Median_Tmax_Mar,-0.0021135800001055886,0.00564337141168991
NDVI_May,-0.0025141113670495542,0.011852535719760334
Median_Tmin_May,-0.0028613595308965476,0.006349476516762082
Median_Tmin_Mar,-0.004067487805393706,0.008428418216884026
NDVI_Apr,-0.004950153443984764,0.0038984683236853402
SoilMoistureAnom_AprJun,-0.0052198484274074775,0.014224981435796001
GDD_03_06,-0.005602718823813353,0.01774137006292574
NDVI_integral,-0.0056831092746170205,0.01204951792057559
Median_Tmax_May,-0.006951617168543636,0.0091559795677109
Median_Tmin_Apr,-0.011598642349189664,0.02649780267064127
