test_year,n_train,n_test,R2,RMSE,MAE
2017,199.0,34.0,-0.11691284466336449,0.772219687680303,0.6564126921101778
2018,198.0,35.0,0.026345586957543077,0.6594926474223528,0.5628752782312928
2019,200.0,33.0,-0.5223386692180378,0.8492345655427871,0.7317550685644308
2020,199.0,34.0,-0.5754700505434476,1.0945343376201875,0.933301612172143
2021,201.0,32.0,-2.5604025024005255,1.455451119696469,1.2544436102768746
2022,201.0,32.0,0.0752022379880879,0.8972478484104187,0.7262040850694431
2023,200.0,33.0,-0.000948348908048402,0.6609011494652924,0.5386254723424734
mean,199.71428571428572,33.285714285714285,-0.5249320843982561,0.91272590797683,0.7719454026809764
